frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,label
23,114,443,118,436,108,437,0,0,92,438,133,464,78,469,158,497,0,0,174,530,0,0,120,551,85,553,120,611,90,610,105,658,90,663,ID: 10.0
24,106,445,111,438,99,439,118,437,91,439,139,463,83,473,159,500,73,517,169,533,71,557,133,550,97,555,135,603,98,611,117,643,97,666,ID: 10.0
25,144,437,146,431,138,432,0,0,120,434,151,464,99,468,167,499,78,512,182,536,81,555,153,554,116,557,166,609,109,616,163,663,99,676,ID: 10.0
26,174,443,178,438,168,438,0,0,151,433,184,459,125,461,200,498,105,510,210,537,108,557,177,553,138,555,175,609,128,614,163,662,104,663,ID: 10.0
27,193,449,197,443,189,443,0,0,170,437,203,465,142,464,226,502,113,504,243,532,98,547,189,554,153,554,180,609,163,606,163,658,165,666,ID: 10.0
28,203,454,0,0,197,448,0,0,176,445,214,462,152,471,236,496,130,517,254,531,125,563,208,550,169,556,204,602,176,614,183,642,178,675,ID: 10.0
29,217,452,220,446,211,446,0,0,193,440,228,459,167,466,248,497,155,518,259,530,171,562,228,555,187,560,235,613,183,618,231,670,177,676,ID: 10.0
30,260,448,264,442,254,442,0,0,234,437,268,463,206,464,283,503,184,514,291,543,182,563,262,560,219,561,267,623,209,620,259,679,181,671,ID: 10.0
31,278,450,284,443,272,442,0,0,254,435,294,463,227,460,320,506,201,506,340,538,198,553,278,567,235,566,278,627,233,627,263,683,223,689,ID: 10.0
32,280,450,285,443,274,444,0,0,256,439,297,467,232,468,319,509,208,515,334,545,196,560,288,565,249,566,281,631,258,632,264,690,260,696,ID: 10.0
33,293,460,297,453,287,453,0,0,266,444,308,466,240,470,326,510,217,523,339,549,208,571,306,568,261,572,313,630,258,634,294,676,257,696,ID: 10.0
34,330,468,334,461,325,461,0,0,304,452,340,478,272,479,355,522,248,533,364,566,250,583,332,579,285,580,342,638,275,637,332,698,256,689,ID: 10.0
35,360,454,362,448,355,448,0,0,330,442,364,473,293,470,389,518,264,521,408,550,271,573,347,576,300,575,348,640,291,638,334,699,279,696,ID: 10.0
36,343,462,345,455,335,455,0,0,310,450,354,477,282,479,379,521,257,528,397,563,253,583,342,578,295,581,346,646,296,651,337,698,290,720,ID: 10.0
37,322,460,323,452,313,454,0,0,287,451,334,472,264,482,358,517,241,536,370,558,236,587,334,581,288,588,341,644,293,654,324,689,288,715,ID: 10.0
38,334,454,334,446,326,449,0,0,299,451,343,480,273,488,364,523,254,547,379,562,262,599,344,591,297,595,351,661,292,661,343,725,287,726,ID: 10.0
39,373,444,373,438,365,439,0,0,337,444,379,479,305,482,404,528,281,540,424,569,283,596,366,595,317,596,365,664,307,661,343,725,287,719,ID: 10.0
40,386,449,0,0,378,443,0,0,349,445,388,480,317,483,420,523,292,540,443,561,299,595,377,595,333,597,371,664,340,667,346,725,333,733,ID: 10.0
41,377,441,377,434,367,436,0,0,340,442,389,475,319,485,418,519,296,542,444,557,282,597,392,594,348,599,386,662,353,670,363,711,348,743,ID: 10.0
42,392,444,0,0,382,438,0,0,357,447,395,480,334,492,409,534,317,557,421,577,317,612,398,598,357,606,409,660,360,674,361,710,348,737,ID: 10.0
43,444,457,0,0,438,450,0,0,411,453,430,496,379,498,0,0,372,563,0,0,404,613,426,605,386,608,446,669,375,676,446,741,347,738,ID: 10.0
44,499,458,0,0,491,452,0,0,461,453,490,487,423,490,514,536,400,551,539,570,400,608,476,605,433,608,471,676,435,678,444,741,398,727,ID: 10.0
